,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,65,129.6369838696,58.2451278937601,186.149455804783,108.531417455937,1.60241065625013,1.23253413465744,1.38662946719711,122.594348623512,-0.817483215604,-0.110789282619066,-0.367528816134211,0.676497334046189,-0.15244646301511,0.615311352850199,0.0968272040174156,0.378788419672048,0.930955153252171,0.113958597345459,0.412942798068229,0.401337740821191,-0.23074946106766,-0.094566328799317,0.470126608010901,0.0663615976209826,0.27505622701517,0.179796608022741,-0.23719028554973,0.595730502579102,-0.356468408802471,0.477720749798436,0.0262556141934169,-0.07842674463501,0.599665489628251,0.313907761177404,-0.0444583574251283,0.189046166287199,-0.206095716531877,0.320811010364707,0.286832619980089,0.381729326872971,-0.354006170498508,0.248361444118075,-0.0472992682643394,0.10930806779794,0.280192621690048,-0.214963396730866,0.126662167284735,0.335020724782396,3.67496249663589,-0.175628219981377,0.536454746132563,0.586030350057513,0.215627512934475,0.41492365552682,0.471284901683418,0.430445801352619,0.321483066499582,0.627934670072761,0.00583790580782306,-0.0998220983535703,0.178349118071367,-0.0975250054127628,0.911755687892821,0.145214382142115,0.00086340483596814,0.223333381103259,0.19101064683116,0.62498937895748,0.795602280451078,0.413933770833012,-0.0819165145568377,0.237747969317979,-0.19585693605444,0.177872016984338,0.297257795704411,-0.0560022363576991,0.582594288902953,0.588389188297128,0.108463917260679,0.187272817786095,0.56092476792935,2.00203967488619,0.0560044129213111,0.355634179770504,1.03004935239585,0.47958487776458,0.645458295219271,0.731747088533723,0.501839057093889,0.4845168466411,0.505964043959693,0.310736322133891,0.472318924930789,0.781598385444681,0.755333273496547,-0.487752343628699
,65.5,280.880131717466,126.197777103147,403.323820910358,235.151404487864,3.47188975520822,2.67049062509159,3.00436384559367,265.621088684277,-1.7712136338082,-0.240043445674189,-0.796312434957656,1.46574422376648,-0.330300669866858,1.33317459784223,0.209792275370603,0.820708242622118,2.01706949871317,0.246910294248949,0.89470939581463,0.869565105112656,-0.499957165646663,-0.204893712398587,1.01860765069074,0.143783461512726,0.595955158533002,0.389559317382805,-0.513912285357151,1.29074942225532,-0.772348219072285,1.03506162456335,0.0568871640863335,-0.169924613376054,1.29927522752814,0.680133482550843,-0.0963264410883653,0.409600026955331,-0.446540719152608,0.695090522456667,0.62147067662346,0.827080208225027,-0.767013369413235,0.538116462256426,-0.102481747905472,0.236834146894751,0.607084013661506,-0.465754026250409,0.274434695783327,0.725878237028326,7.96241874271186,-0.380527809959517,1.16231861662101,1.26973242512474,0.467192944691817,0.899001253642041,1.02111728698094,0.932632569597274,0.696546644082559,1.36052511849118,0.0126487959161636,-0.216281213099137,0.386423089154562,-0.211304178394244,1.97547065710171,0.314631161307659,0.00187071047707832,0.483888992389666,0.413856401467967,1.35414365440801,1.72380494097655,0.896856503472122,-0.17748578153936,0.515120600189221,-0.424356694784819,0.385389370132145,0.644058557360154,-0.121338178775602,1.26228762595593,1.27484324131018,0.235005154064538,0.405757771869673,1.21533699718071,4.33775262891982,0.121342894662916,0.770540722835506,2.23177359685741,1.03910056848946,1.39849297297502,1.585452025157,1.08731795703721,1.04978650105545,1.09625542857941,0.673262031289369,1.02335767068331,1.69346316846327,1.63655542590845,-1.05679674452944
,66,259.273967739199,116.490255787521,372.298911609553,217.062834911873,3.20482131249946,2.46506826931579,2.77325893439411,245.188697247025,-1.63496643120715,-0.221578565237678,-0.735057632268592,1.35299466809215,-0.304892926031357,1.23062270570051,0.193654408034377,0.757576839343471,1.86191030650491,0.227917194691315,0.825885596136573,0.802675481642893,-0.461498922135377,-0.189132657598691,0.940253216022199,0.132723195242932,0.550112454030455,0.359593216046108,-0.474380571098493,1.19146100515917,-0.712936817605566,0.955441499597384,0.0525112283878002,-0.15685348927019,1.19933097925673,0.627815522354638,-0.088916714850825,0.37809233257417,-0.412191433064379,0.641622020728732,0.573665239960121,0.763458653745715,-0.708012340996845,0.496722888237116,-0.0945985365277124,0.218616135594743,0.560385243379869,-0.429926793461902,0.253324334568845,0.670041449564621,7.34992499327245,-0.35125643996264,1.07290949226552,1.17206070011514,0.431255025869348,0.829847311054607,0.942569803367462,0.860891602705181,0.642966132999277,1.25586934014615,0.0116758116145093,-0.199644196706913,0.356698236142677,-0.195050010825014,1.82351137578661,0.290428764283547,0.00172680967074257,0.446666762205439,0.382021293662774,1.24997875791553,1.59120456090102,0.82786754166699,-0.163833029113277,0.475495938636186,-0.391713872109563,0.355744033968108,0.594515591409845,-0.112004472715967,1.16518857780545,1.17677837659363,0.21692783452113,0.374545635572019,1.12184953585916,4.00407934977216,0.112008825843134,0.711268359540441,2.06009870479062,0.959169755528706,1.29091659043848,1.46349417706847,1.00367811418823,0.969033693281972,1.0119280879199,0.621472644266703,0.944637849861522,1.56319677088828,1.51066654699196,-0.975504687257967
,66.5,259.273967739201,116.490255787516,372.29891160956,217.062834911849,3.2048213124994,2.46506826931034,2.77325893440042,245.188697247014,-1.63496643121124,-0.221578565245181,-0.735057632266205,1.35299466809266,-0.304892926034256,1.23062270569955,0.193654408028749,0.757576839346427,1.86191030650821,0.227917194693589,0.825885596141063,0.80267548163954,-0.461498922128499,-0.189132657597042,0.940253216017823,0.132723195239919,0.550112454033922,0.359593216050655,-0.474380571091331,1.19146100516065,-0.712936817605794,0.955441499593917,0.0525112283951898,-0.156853489273942,1.19933097925013,0.627815522349863,-0.0889167148517913,0.378092332569622,-0.412191433066482,0.641622020726402,0.573665239959496,0.76345865374094,-0.708012340995083,0.496722888240924,-0.0945985365207775,0.218616135597017,0.560385243378903,-0.429926793459856,0.253324334570323,0.670041449565076,7.34992499326722,-0.351256439969973,1.07290949226541,1.1720607001181,0.431255025872076,0.829847311053925,0.942569803375079,0.860891602702964,0.642966132998254,1.25586934015445,0.0116758116085975,-0.199644196706231,0.356698236145974,-0.195050010818022,1.8235113757882,0.290428764280307,0.00172680966556982,0.446666762209077,0.382021293666867,1.24997875791394,1.59120456090619,0.827867541671026,-0.163833029115096,0.475495938630274,-0.391713872108937,0.355744033974645,0.594515591413824,-0.112004472720741,1.16518857780818,1.17677837658727,0.216927834522153,0.374545635570655,1.12184953586438,4.00407934976613,0.112008825841997,0.711268359538792,2.06009870478607,0.95916975553763,1.29091659044121,1.46349417706847,1.00367811418806,0.969033693281801,1.01192808791836,0.621472644274888,0.944637849864762,1.56319677089374,1.51066654698849,-0.97550468725143
,67,259.273967739219,116.490255787562,372.298911609533,217.062834912041,3.20482131250498,2.46506826934927,2.77325893434994,245.18869724708,-1.63496643118316,-0.221578565189361,-0.735057632286441,1.35299466808539,-0.304892926009984,1.23062270570887,0.193654408075929,0.75757683932494,1.86191030648246,0.227917194671249,0.82588559610673,0.802675481665858,-0.461498922183523,-0.18913265761023,0.940253216050735,0.132723195261349,0.550112454007319,0.359593216015298,-0.474380571149709,1.19146100514774,-0.712936817606646,0.955441499621088,0.0525112283334011,-0.156853489243474,1.19933097930493,0.62781552238647,-0.0889167148419574,0.378092332602819,-0.412191433050737,0.641622020751754,0.573665239962907,0.763458653781697,-0.708012341011852,0.496722888207785,-0.0945985365789284,0.218616135580362,0.560385243383905,-0.429926793476227,0.25332433455543,0.670041449561438,7.34992499330156,-0.35125643991131,1.07290949226257,1.17206070009445,0.43125502584769,0.829847311056312,0.942569803313177,0.860891602719107,0.642966133008031,1.25586934008868,0.011675811657426,-0.199644196709642,0.356698236119144,-0.195050010872933,1.8235113757724,0.290428764312935,0.00172680970803185,0.446666762181451,0.38202129363151,1.2499787579261,1.59120456086788,0.827867541636067,-0.163833029103102,0.475495938679614,-0.391713872107175,0.355744033924452,0.594515591378922,-0.112004472680383,1.1651885777905,1.17677837663712,0.216927834513967,0.374545635581569,1.12184953581993,4.00407934981388,0.112008825852172,0.711268359554083,2.06009870482501,0.959169755469986,1.29091659041939,1.46349417706534,1.00367811418369,0.969033693279982,1.01192808793013,0.621472644210883,0.944637849838841,1.56319677085264,1.51066654701776,-0.975504687301623
,67.5,256.943706690198,113.622462680933,370.203707425404,215.714716751424,3.19019116674463,2.34090037523185,2.75529939561324,244.044049049607,-1.68017175550989,-0.3390029825498,-0.768524348446078,1.41979425814429,-0.346679365266084,1.28331166768231,0.152575638074325,0.819902005247002,1.92178578042581,0.170705307486401,0.894870342099011,0.792613311116725,-0.489351699342365,-0.260985099814093,0.944290279721542,0.124584128810852,0.546974098784119,0.399054873138596,-0.392254342504827,1.18490329738455,-0.742193664160936,0.964482563392323,0.0325457070056814,-0.199601186940583,1.2718288713661,0.643515430308014,-0.128850281906807,0.404662806739339,-0.395619753995675,0.640403052627732,0.527847163967067,0.77284995536337,-0.737536187577177,0.516730229128029,-0.102020403167103,0.23877871334679,0.599131754352641,-0.479514264369641,0.263677694858927,0.649638616285358,7.29944005615255,-0.333450520493955,1.14076338756757,1.19732192980712,0.389039042763727,0.842571712785173,0.948995434391577,0.861168689970441,0.668230993919508,1.21110754832847,-0.027393915646428,-0.217331071892374,0.348653713448243,-0.239024820632437,1.89076324704581,0.265467213724207,-0.0196496774003663,0.458596471686349,0.342513500571442,1.2440294442269,1.64117621447906,0.882927055040284,-0.116047938281213,0.504338162802071,-0.480472015092005,0.313961513355821,0.544233872383757,-0.149412102203996,1.12778059828941,1.15593311191634,0.166904696416736,0.256261569588389,1.09715504704269,3.95702605806696,0.0348175547804885,0.689908370260241,2.03916090049614,0.905368593720766,1.32712931410862,1.45167669724179,0.986699141172494,0.960279255405851,0.995295774605609,0.590808874751872,0.93588281168428,1.60159007453751,1.50753379451481,-1.08634336161612
,68,270.944087683752,130.648297730911,383.16990819834,223.86040530966,3.30443436744503,3.20412087568548,2.87243311579516,251.561773030534,-1.37450763463431,0.503494484640498,-0.523293964279276,1.01111139870659,-0.0276870521848878,0.973049845675689,0.478530657614954,0.395742582265768,1.5436895021586,0.57093298560892,0.48788680561097,0.912495146481604,-0.295677899497321,0.257603553393096,0.982041251466455,0.175534294121633,0.620663882897986,0.16499526993465,-1.0041950071348,1.32476430075974,-0.540968253366771,0.890960948664201,0.199050157072918,0.0503081119488229,0.782324119577311,0.603922485053488,0.172612942027513,0.255585690307555,-0.495300556765415,0.718446811719502,0.946657167518879,0.744724871269284,-0.544356418816733,0.417892735049179,0.00402544053332576,0.138493062171051,0.319345135809897,-0.110825396388634,0.262025778862551,0.855398827137719,7.7260197309206,-0.44441571530632,0.690784613231813,1.11997517338028,0.725056673130155,0.859298640695272,0.934451984568,0.958110287350394,0.533821921065055,1.61200708877425,0.271787520296982,-0.103844653774786,0.443809835270656,0.080996300962056,1.4674266225656,0.475007312634432,0.174347152273981,0.384657695968997,0.711278961193841,1.35597588506982,1.41119441525831,0.550809683829698,-0.438527709015887,0.384748516016771,0.17459041895404,0.647377880361432,0.932508057470955,0.129892867857166,1.40279993364999,1.27872126625846,0.548283763515485,1.12510051236694,1.30886257281423,4.27115884716505,0.536352547974957,0.828751665800894,2.25541031583083,1.33624311899854,1.01898139002049,1.64239398939833,1.13931273563605,0.989327316681624,1.07256599075743,0.815107263852553,1.02531844022019,1.34399090619047,1.57400622090387,-0.2952990678682
,68.5,301.337121640701,168.560804144714,408.514926550525,241.701180286758,3.30176851532843,4.06476299269639,3.03377166937179,262.115617127718,-1.04004306962128,1.12159533257847,-0.400201963630082,0.151199462118768,-0.0466022236756771,0.178802349599039,0.445566581882019,-0.142596592179814,0.769514335463782,0.997408863311705,-0.563166032062554,0.589501134162276,-0.141399657183968,0.583748113312879,0.44448931401314,0.285640468443887,0.237052419931331,-0.453850734857326,-1.39783952664101,0.689843556610469,-0.345858363649427,0.884951718034927,0.106468565195485,0.659255978276974,0.114289372409075,-0.0471038845402632,0.250640768929543,-0.227288040840847,-0.798715511527348,0.14866268576003,0.60236150926977,0.337173594702506,-0.313634342999592,-0.0371127984550412,-0.319503909363732,-0.355212233130089,0.106836555967277,0.0604731149107351,-0.301203095636026,0.488686689868302,7.58148995380986,-0.701249161572491,0.0652885768516853,0.209361722890662,0.770957048396156,-0.00767436549938338,0.739184991445711,0.247807986612202,0.108323016766349,1.356724800081,0.431073552065811,0.013446800505676,0.214647602095226,0.259635688422406,0.686768347496297,0.373397572989802,-0.0265021274227024,0.200440784490127,0.295223144886279,0.912620255110085,0.199613785707129,-0.161603515452384,-0.898838562583421,-0.380575370426754,0.573902871198356,0.638653193909477,1.07551189579874,0.271165329107816,1.58917234096015,1.63509697974195,0.672928535455924,1.66636041456383,1.28370317079884,4.72561680268029,1.29574781157487,1.035841533694,1.97553953640778,1.33439850527145,1.16292720583465,0.995897466232464,1.02832892906895,1.30832745791469,1.48885674144077,0.960099084592059,0.888415232320597,1.05448136129507,1.27555159910781,0.287876004256987
,69,328.068164134307,208.380915176324,426.476736317187,253.198956711574,3.48459621362872,4.43456405799975,3.286356924693,270.937403803599,-0.632935958549979,1.35268135313152,-0.28909570326698,-0.222988185353131,0.68705453707878,-0.028047669406817,0.546229112741514,-0.0486473825823168,1.0434947304804,0.80079492889206,-0.7393357863549,0.570487443558534,0.205424306199518,0.938563332318324,0.398328448591087,0.278117793300567,0.196052945633426,-0.323726199676742,-0.479563444633584,0.156541194954968,-0.0701485700009243,1.13619559936728,0.238700092322858,1.196764788699,0.305840186484431,-0.187686981906552,0.381630427476921,-0.151639365187521,-0.410415911651512,0.334773992800308,-0.304277308789722,0.587309514363199,0.190910062148532,-0.104525281974759,-0.736485989059361,-0.107138366237734,0.203736261823394,0.034184373124674,-0.796937588246294,0.519822392066715,6.86437626131294,-0.554723720147251,-0.250478000557109,-0.239205365323357,0.160561660448536,-0.507158114167737,0.0842881519099024,-0.314675563446997,-0.564414253383745,0.453297986472194,-0.274483287283886,0.643145034315978,0.00913958842409102,0.495621372994606,0.262497310796903,0.346299424616348,-0.0930045028558766,0.387867675094697,-0.100921316748497,0.426685040575876,-0.389564526985509,-0.796871459730028,-0.663900057641001,-1.01905684449247,0.136101972653762,0.432173212312478,0.415836918261789,0.0769752481901946,1.39725168917704,1.47332892496564,0.475548663951599,1.30077400261769,0.527614278799604,4.67221058009079,1.87845012602622,1.24235105561178,1.11714998534956,0.891561112077511,1.56300643682619,0.0544067277991189,0.801392328139855,1.30156427912431,1.59492647721089,0.887566726193256,0.717030335645859,0.646335439640211,1.0915054705589,0.678205404178243
,69.5,351.791836358457,249.169586946862,435.445171259972,260.816027237635,2.78903710026742,4.11101420714874,3.14193346674131,276.089823812721,-0.174498251699788,1.27143842996918,0.0797012296386015,-1.11973752206438,1.04122362077891,-0.145324863994517,0.560814652594843,0.0847981280666659,1.45356469166495,0.456241898573467,-0.634087260665183,0.977734559581052,0.432805697514652,1.00895571088296,0.168036231490589,-0.0166654091498799,0.401999853020527,-0.375922763452024,-0.202472777779747,0.684947021922994,-0.0804793500533947,0.798988868962965,0.426749488679036,1.57531405850506,0.60563874190467,0.36740045603068,0.839462831327751,-0.130352566530519,0.296245225516032,0.897044538789658,-0.140025058203378,1.55905540404802,1.04951328365695,0.00758644833689459,-0.665965867824468,0.0778519724745479,0.290977928563507,0.278631127578024,-0.933867408713866,1.10828791242471,7.25409329230558,-0.0376729929204203,-0.0722174044565804,0.479569869421312,0.296337845235655,0.122869619725748,-0.206777495104518,-0.191536423598734,-0.341979195396505,-0.184261347880295,-0.484724612605419,1.07061465628959,0.374798846281635,0.427453059594029,0.323908790785879,0.572944205187355,0.404444220632058,0.691354434529046,0.674304424630122,0.0657172361361518,-0.267564526642332,-1.11168701790962,-0.174712919125056,-0.993320158366373,0.217787846578403,0.485982218430536,0.458995855918317,0.253830588304538,1.02659939961524,0.9657114902854,0.444483720641131,1.22630900728251,-0.313495057951855,4.538844078821,2.13149887565044,1.22580929104913,0.282002039174927,1.01886449817636,0.885557506365842,-0.0453232357289153,0.328579206147992,1.12148868757447,1.25182097998703,0.906301323223431,0.653894731152434,0.124365267917312,0.759046674743104,1.30591544058609
