Temperatura,1000,100,10,1,0.1,0.01,0.001
78.8,6.92E-05,-4.53E-04,1.91E-03,1.16E-03,2.50E-03,5.52E-04,-8.20E-05
79.1,1.33E-03,-9.99E-05,6.02E-04,2.98E-03,2.57E-03,1.08E-03,1.15E-03
79.4,1.99E-03,-6.69E-04,-5.64E-04,1.60E-03,2.08E-03,8.64E-04,1.50E-03
79.6,7.90E-04,-2.53E-05,3.07E-05,1.34E-03,2.03E-03,3.12E-04,2.27E-03
79.9,-3.46E-04,4.63E-04,7.60E-05,1.18E-03,3.15E-03,-4.02E-04,6.22E-04
80.1,-2.30E-04,4.49E-04,-8.64E-04,1.33E-03,3.48E-03,-7.72E-04,8.58E-04
80.4,-1.82E-03,1.45E-03,-2.52E-04,-6.86E-05,2.71E-03,5.75E-04,-8.60E-05
80.7,-1.67E-03,-1.09E-03,-1.55E-03,-1.14E-03,8.97E-04,1.31E-03,-4.98E-04
80.9,-4.19E-04,-1.02E-03,-1.89E-03,-1.44E-03,4.56E-04,1.35E-03,-1.86E-03
81.2,-1.05E-03,-1.96E-04,1.54E-04,-1.15E-03,1.36E-03,1.35E-03,-2.10E-03
81.5,6.56E-04,7.22E-04,-1.87E-05,1.94E-05,1.10E-03,7.47E-04,-1.37E-03
81.8,6.90E-04,-3.82E-06,-5.33E-04,1.76E-04,1.78E-04,4.10E-04,-3.78E-04
82,1.33E-03,2.84E-04,-1.06E-03,4.48E-04,3.04E-04,6.49E-04,7.08E-04
82.3,3.92E-04,1.76E-03,2.72E-04,-2.86E-04,1.28E-03,-1.95E-05,8.95E-04
82.6,1.64E-03,1.97E-03,1.95E-03,-1.22E-04,1.87E-03,-5.88E-04,1.38E-03
82.8,1.49E-04,2.77E-03,2.46E-03,-3.98E-04,2.97E-03,4.36E-04,8.63E-04
83.1,-4.74E-04,1.57E-03,-2.90E-04,-6.88E-04,2.75E-03,3.46E-04,5.11E-04
83.4,-5.29E-04,4.05E-04,-1.58E-03,-7.22E-04,2.24E-03,1.85E-05,1.59E-04
83.7,-8.17E-04,-1.99E-03,-6.88E-04,-1.47E-04,3.59E-04,4.72E-04,-1.12E-03
83.9,-6.77E-04,-2.45E-03,6.62E-04,1.55E-03,1.68E-03,-4.68E-04,-4.97E-04
84.2,-1.21E-03,-2.71E-03,9.59E-04,1.45E-03,1.74E-04,-9.25E-04,-1.15E-04
84.5,-7.93E-04,-2.61E-03,5.67E-05,8.96E-04,-7.57E-04,-6.29E-04,-2.31E-04
84.8,8.35E-05,-1.08E-03,1.08E-03,1.17E-03,-1.86E-03,-6.08E-04,3.00E-04
85,8.52E-04,2.40E-04,1.78E-03,3.45E-04,-3.83E-04,-3.20E-04,6.33E-04
85.3,2.69E-05,1.97E-03,1.42E-03,6.64E-04,-1.06E-03,1.14E-03,3.17E-04
85.6,1.33E-03,2.94E-03,1.27E-03,8.62E-04,-9.05E-05,7.01E-04,5.86E-04
85.8,-1.28E-04,2.31E-03,-7.33E-05,3.42E-04,-9.17E-04,7.96E-05,7.56E-04
86.1,-7.93E-04,-4.23E-04,6.91E-04,-3.53E-04,-2.28E-03,1.60E-03,3.65E-04
86.4,-1.67E-03,-7.75E-04,7.15E-04,1.03E-03,3.53E-04,1.18E-03,4.40E-04
86.7,-1.86E-03,-1.05E-03,6.30E-04,1.05E-04,9.22E-04,2.15E-03,-1.54E-05
86.9,-2.09E-03,-1.84E-03,-1.20E-03,-1.90E-04,2.26E-03,2.00E-03,1.79E-05
87.2,-1.43E-03,-1.86E-03,-4.77E-04,-1.07E-04,1.57E-03,1.34E-03,1.56E-04
87.5,-1.34E-04,-1.12E-03,-8.35E-04,6.58E-05,2.97E-03,8.81E-04,6.52E-04
87.8,1.22E-04,-3.97E-04,-1.62E-03,4.57E-04,2.21E-03,1.39E-03,5.98E-04
88.1,2.05E-03,7.95E-04,-1.12E-03,4.94E-04,1.97E-03,5.49E-04,-2.63E-05
88.3,2.23E-03,1.88E-03,-1.31E-03,1.61E-04,-2.52E-04,-1.42E-03,-1.93E-04
88.6,1.41E-03,1.36E-03,3.67E-04,2.66E-04,-1.40E-03,-1.59E-03,5.43E-04
88.9,4.71E-04,2.26E-03,-6.62E-04,-2.21E-04,-1.74E-03,-1.82E-03,-3.88E-04
89.2,3.96E-04,2.50E-03,-7.24E-04,-1.07E-03,-1.82E-03,-1.35E-03,-3.64E-04
89.4,8.98E-04,1.60E-03,-1.52E-03,1.05E-04,-7.34E-04,-9.83E-04,-7.55E-05
89.7,-1.37E-03,9.05E-04,-3.61E-04,-9.12E-04,-7.83E-04,-1.25E-03,-1.54E-04
90,-1.03E-03,1.88E-03,-2.72E-04,-2.31E-04,-1.80E-04,-9.80E-04,5.05E-04
90.3,-3.01E-04,3.07E-04,-8.09E-04,-6.68E-05,2.72E-03,4.95E-05,1.01E-03
90.6,-1.84E-04,2.52E-04,-1.51E-04,-2.43E-04,3.88E-03,8.17E-04,-9.41E-06
90.8,-4.78E-04,1.05E-03,6.77E-04,-7.71E-04,4.67E-03,4.25E-04,-5.09E-05
91.1,-2.21E-04,4.97E-04,1.50E-03,4.61E-04,3.87E-03,4.21E-04,-6.13E-05
91.4,-9.95E-04,-6.37E-04,8.53E-04,6.52E-04,3.89E-03,9.30E-04,-1.50E-03
91.7,1.78E-04,-9.66E-04,2.24E-04,4.47E-04,3.44E-03,8.93E-04,-9.30E-04
92,1.68E-03,-2.12E-03,1.05E-04,9.80E-04,3.70E-03,1.79E-03,3.86E-04
92.2,6.46E-05,-2.95E-03,4.21E-04,1.76E-04,2.49E-03,8.45E-04,-7.25E-05
92.5,-1.61E-04,-3.45E-04,5.54E-04,-1.64E-04,-8.88E-04,6.72E-04,-2.34E-04
92.8,3.58E-04,1.95E-04,-6.62E-04,4.15E-04,-5.05E-05,2.13E-04,7.32E-04
93.1,-2.74E-05,5.79E-04,-1.77E-03,-4.27E-04,-4.34E-04,-2.51E-04,6.48E-04
93.4,-1.22E-04,-3.39E-04,-2.21E-03,-2.24E-03,1.77E-03,-1.21E-04,1.22E-03
93.7,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0
94.3,0,0,0,0,0,0,0
95.1,0,0,0,0,0,0,0
