Temperature,A1,B1,C1,D1,E1
86.1,0.4984198,0.43976134,0.47619185,0.33733565,0.22883725
86.4,0.4641656,0.42756045,0.44282144,0.32441315,0.2218461
86.7,0.44512522,0.40519634,0.43379408,0.2817196,0.197124
86.9,0.38691702,0.35401335,0.38491213,0.3034684,0.18683174
87.2,0.26609588,0.26451218,0.32045567,0.24233466,0.17189804
87.5,0.09196176,0.10427073,0.16142005,0.16153307,0.11954478
87.8,0.076717556,0.05759876,0.08567078,0.07963486,0.067495316
88.1,0.058316715,0.07416903,0.085678294,0.08308571,0.047164183
88.3,0.05915279,0.06352321,0.09246618,0.082383886,0.06510747
88.6,0.045470435,0.060884565,0.08078094,0.06653561,0.041448224
88.9,0.045294203,0.053812277,0.09173424,0.064158395,0.055472497
89.1,0.059747037,0.07909243,0.10119119,0.08979808,0.055497907
89.4,0.08188773,0.08440373,0.08199903,0.09691997,0.055068973
89.7,0.05700428,0.061096355,0.06729378,0.062178172,0.03720393
90,0.036813576,0.08718144,0.0728318,0.06441954,0.044225473
90.3,0.055997167,0.06718729,0.079534404,0.07871297,0.05470842
90.5,0.04079219,0.06934441,0.06984029,0.07264237,0.04352258
90.8,0.04723931,0.045288816,0.07791135,0.073766716,0.046872333
91.1,0.047993835,0.084409215,0.06314423,0.088171326,0.055056985
91.4,0.045354504,0.073022515,0.091037765,0.07213748,0.038595054
91.7,0.0393767,0.050569035,0.06835113,0.07822638,0.043188527
91.9,0.036806487,0.055200953,0.058940157,0.06669308,0.041707125
92.2,0.060610443,0.052464113,0.08638598,0.06544098,0.03835597
92.5,0.0590496,0.0631309,0.06609383,0.071777724,0.035661805
92.8,0.04715185,0.047653474,0.0680255,0.07782714,0.05336487
93.1,0.031717997,0.062395476,0.085184865,0.06236941,0.029947018
93.4,0.06586322,0.06476364,0.06707819,0.07044226,0.043581694
93.7,0.055031374,0.060746737,0.08313342,0.07505103,0.04354293
94,0.041615196,0.0650193,0.06486978,0.088151924,0.034803852
94.3,0.046016548,0.04588173,0.0505246,0.06426575,0.035283126
